StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q2,Q4,Q5
5/7/19 13:03,5/7/19 13:55,IP Address,,100,3124,TRUE,5/7/19 13:55,R_2TFxiZmE1Vtcozr,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",P23,P23,26,1
5/7/19 13:04,5/7/19 13:55,IP Address,,100,3083,TRUE,5/7/19 13:55,R_1d4ZWTRgptKi3Sq,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",P21,P21,37,1
5/10/19 9:53,5/10/19 10:05,IP Address,,100,738,TRUE,5/10/19 10:05,R_2wufJKAQK5Mkwsm,,,,,,,anonymous,EN,,,,,
5/10/19 10:01,5/10/19 10:08,IP Address,,100,380,TRUE,5/10/19 10:08,R_1Nt8MROcSLIldCz,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p27,p27,52,0
5/10/19 10:04,5/10/19 10:47,IP Address,,100,2542,TRUE,5/10/19 10:47,R_3QS1iksyUG15jiZ,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p29,p29,35,2
5/10/19 10:01,5/10/19 10:47,IP Address,,100,2775,TRUE,5/10/19 10:47,R_3nvC0WmqOxn9Fvy,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",P26,P26,47,5
5/10/19 10:02,5/10/19 10:53,IP Address,,100,3011,TRUE,5/10/19 10:53,R_3eb0pmstXGP9IYa,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p28,p28,46,1
5/10/19 10:08,5/10/19 10:55,IP Address,,100,2818,TRUE,5/10/19 10:55,R_26lQ9OeUZmhEsi6,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p27,p27,51,1
5/7/19 12:47,5/14/19 11:34,IP Address,,100,600426,TRUE,5/14/19 11:34,R_RrdDlboPkpsN573,,,,,,,anonymous,EN,,,,,
5/14/19 11:27,5/14/19 11:43,IP Address,,100,970,TRUE,5/14/19 11:43,R_2dSIHqqLQZbSqwX,,,,,,,anonymous,EN,,p1,p1,,
5/14/19 11:44,5/14/19 11:45,IP Address,,100,66,TRUE,5/14/19 11:45,R_3fvqfKdAOzzTOac,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p48,p 48,,
5/14/19 11:34,5/14/19 11:48,Spam,,100,832,TRUE,5/14/19 11:48,R_07EIaQeCP3WNydX,,,,,,,anonymous,EN,,,,,
5/14/19 11:44,5/14/19 11:52,IP Address,,100,512,TRUE,5/14/19 11:52,R_3phel7PzszD3Z60,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p39,p39,60,0
5/14/19 11:44,5/14/19 11:53,IP Address,,100,568,TRUE,5/14/19 11:53,R_1IAXQC8daLzK5yr,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",P45,P45,49,0
5/14/19 11:44,5/14/19 11:58,IP Address,,100,823,TRUE,5/14/19 11:58,R_tVxeicz4yettiPn,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p36,36,45,9
5/14/19 11:44,5/14/19 12:01,IP Address,,100,1058,TRUE,5/14/19 12:01,R_2EpdImxlhU5CZP5,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p46,p46,33,8
5/14/19 11:44,5/14/19 12:02,IP Address,,100,1101,TRUE,5/14/19 12:02,R_aWui2rdIkJL7Ra9,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p38,p38,43,8
5/14/19 11:46,5/14/19 12:05,IP Address,,100,1091,TRUE,5/14/19 12:05,R_2fCMbcinRBMOTzb,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p44,p44,43,4
5/14/19 11:44,5/14/19 12:05,IP Address,,100,1300,TRUE,5/14/19 12:05,R_22PMcfradKaUWRc,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p41,p41,33,0
5/14/19 11:58,5/14/19 12:09,IP Address,,100,675,TRUE,5/14/19 12:09,R_2tm6hbkz9IqaBTw,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",,,45,9
5/14/19 11:44,5/14/19 12:10,IP Address,,100,1559,TRUE,5/14/19 12:10,R_1LeDweFPWwqwL3t,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p33,p33,45 wpm,7
5/14/19 11:44,5/14/19 12:10,IP Address,,100,1592,TRUE,5/14/19 12:10,R_XvVSXicPMWjdsZz,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",P47,P47,50,1
5/14/19 11:44,5/14/19 12:12,IP Address,,100,1693,TRUE,5/14/19 12:12,R_72JQPIzkrIeTLpL,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p35,p35,58,5
5/14/19 11:46,5/14/19 12:15,IP Address,,100,1757,TRUE,5/14/19 12:15,R_VX3vaxF02EnyRUt,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",,p37,74,1
5/14/19 11:45,5/14/19 12:15,IP Address,,100,1813,TRUE,5/14/19 12:15,R_1YcTjHB40jDm9R7,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p48,p48,48,3
5/14/19 11:44,5/14/19 12:16,IP Address,,100,1961,TRUE,5/14/19 12:16,R_2feQiS7i0AMUXZj,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p32,p32,54,9
5/14/19 11:44,5/14/19 12:17,IP Address,,100,1983,TRUE,5/14/19 12:17,R_2vZhIz39pGA0gqN,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p43,P43,40,45
5/14/19 11:44,5/14/19 12:17,IP Address,,100,1990,TRUE,5/14/19 12:17,R_1FIDS6422BEpq5d,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",P34,P34,42,5
5/14/19 11:44,5/14/19 12:17,IP Address,,100,1996,TRUE,5/14/19 12:17,R_3NEB4oczRc7M4wP,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p40,p40,55,22
5/14/19 11:44,5/14/19 12:21,IP Address,,100,2237,TRUE,5/14/19 12:21,R_9Buov0FRdBsXiW5,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",P31,P31,41,4
5/14/19 11:45,5/14/19 12:26,IP Address,,100,2475,TRUE,5/14/19 12:26,R_6A8bgdXGeBafAEp,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",p42,p42,52,49
5/7/19 13:05,5/7/19 13:56,IP Address,,60,3028,FALSE,5/14/19 13:56,R_1FLC4dx7EfkfhBS,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",,,,
5/14/19 18:34,5/14/19 19:00,IP Address,,100,1545,TRUE,5/14/19 19:00,R_2V2VD9tkRPvfStS,,,,,,,anonymous,EN,"Yes, I consent to participate in this study.",P49,P49,58,4
