StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q44,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q_TotalDuration
4/26/19 13:01,4/26/19 13:23,IP Address,,100,1368,TRUE,4/26/19 13:23,R_7VCNCtdZt2OeqfD,,,,,,,anonymous,EN,P10,5,1,7,4,3,1,2,1,8,4,5,6,2,1,2,4,4,7,3,8,8,8,1,3,7,2,8,2,6,5,6,7,8,3,3,3,1368
4/26/19 13:01,4/26/19 13:27,IP Address,,100,1537,TRUE,4/26/19 13:27,R_vCzBDjUUt8nhsEp,,,,,,,anonymous,EN,P11,5,1,7,4,3,1,2,3,8,4,5,6,8,1,2,4,6,7,3,2,1,7,5,3,4,8,4,2,1,4,3,8,3,3,,,1537
4/26/19 13:00,4/26/19 13:01,IP Address,,5,47,FALSE,4/26/19 17:01,R_aboIS2wPXdpU0ZH,,,,,,,anonymous,EN,P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47
4/30/19 13:15,4/30/19 13:20,IP Address,,100,302,TRUE,4/30/19 13:20,R_1OZVDwyyvaHEiaQ,,,,,,,anonymous,EN,p12,5,4,7,8,5,7,3,3,8,7,6,7,7,6,3,4,4,6,1,2,1,5,4,6,3,4,4,6,3,7,2,5,1,6,3,5,302
5/2/19 9:02,5/2/19 9:13,IP Address,,100,626,TRUE,5/2/19 9:13,R_2aV1IjSTmyYpoNQ,,,,,,,anonymous,EN,p13,5,2,7,5,3,7,7,3,4,2,5,8,6,3,2,7,6,2,8,4,5,1,5,1,2,4,2,5,3,4,7,1,4,6,4,1,626
5/2/19 13:20,5/2/19 13:38,IP Address,,100,1066,TRUE,5/2/19 13:38,R_2Soz8LP0zWb3L5V,,,,,,,anonymous,EN,P14,1,1,7,8,3,1,2,1,8,4,5,6,5,6,6,6,6,6,6,2,1,7,5,1,7,2,5,4,7,5,7,1,4,3,4,3,1066
5/2/19 13:18,5/2/19 13:40,IP Address,,100,1317,TRUE,5/2/19 13:40,R_2YPMUDa3jdDuAsS,,,,,,,anonymous,EN,P15,5,1,7,4,3,1,6,1,8,4,5,6,2,1,2,5,6,7,3,8,8,7,6,3,7,2,4,2,8,6,8,4,5,5,1,5,1317
5/3/19 10:52,5/3/19 11:12,IP Address,,100,1206,TRUE,5/3/19 11:12,R_31a9Y2h8XLBx3fH,,,,,,,anonymous,EN,P17,5,1,7,4,3,1,6,1,3,4,5,6,8,7,8,4,8,1,5,8,4,2,6,8,8,8,3,8,7,7,3,2,4,1,1,8,1206
5/3/19 11:10,5/3/19 11:17,IP Address,,100,427,TRUE,5/3/19 11:17,R_2yqlYgQPzz25lRV,,,,,,,anonymous,EN,P16,5,1,7,5,1,2,4,4,1,2,2,7,7,4,7,1,8,3,3,1,4,1,7,8,8,8,7,3,8,8,5,3,2,3,4,1,427
5/3/19 12:59,5/3/19 13:19,IP Address,,100,1233,TRUE,5/3/19 13:19,R_pEoveEmf8EOuyhb,,,,,,,anonymous,EN,p18,1,1,7,4,3,1,6,1,8,4,5,6,6,1,2,4,6,7,8,8,4,7,5,1,1,6,7,2,6,8,2,8,4,3,1,1,1233
5/3/19 12:59,5/3/19 13:20,IP Address,,100,1279,TRUE,5/3/19 13:20,R_1FS87jnDgV7VS3c,,,,,,,anonymous,EN,P19,1,1,7,5,3,1,6,2,8,4,5,6,3,1,8,4,6,7,3,4,4,8,6,8,2,8,4,2,5,1,7,7,2,6,1,8,1279
5/7/19 13:25,5/7/19 13:37,IP Address,,100,727,TRUE,5/7/19 13:37,R_YSVcVchhtizQVPj,,,,,,,anonymous,EN,P22,1,2,7,1,7,1,2,1,8,5,3,5,4,3,4,5,6,8,8,8,5,8,2,2,1,8,6,2,5,8,7,1,8,6,1,8,727
5/7/19 13:25,5/7/19 13:44,IP Address,,100,1149,TRUE,5/7/19 13:44,R_ONZl2YMJ5C6qDSx,,,,,,,anonymous,EN,P23,5,1,7,4,3,1,6,8,8,4,5,6,2,1,2,4,6,7,5,8,8,7,6,7,7,6,4,8,4,4,7,4,5,1,3,1,1149
5/7/19 13:27,5/7/19 13:47,IP Address,,100,1192,TRUE,5/7/19 13:47,R_1Ebtk81H48Wjpk3,,,,,,,anonymous,EN,P21,5,1,7,4,3,1,2,1,8,4,5,6,5,6,2,1,6,7,7,2,4,7,5,5,7,2,6,3,3,5,5,8,3,5,6,8,1192
5/7/19 13:25,5/7/19 13:51,IP Address,,100,1535,TRUE,5/7/19 13:51,R_2ysjGuAPgWm9D7p,,,,,,,anonymous,EN,P24,5,1,8,4,3,1,2,1,8,4,7,6,2,1,2,4,6,7,3,8,8,7,3,1,7,2,,,,,,,,,,,1535
5/7/19 13:25,5/7/19 13:52,IP Address,,100,1580,TRUE,5/7/19 13:52,R_3fZuxkHnlaMFx1f,,,,,,,anonymous,EN,P20,5,1,7,7,3,1,6,1,8,4,5,6,2,1,2,4,6,7,3,8,8,8,1,3,4,2,4,,,,,,,,,,1580
5/7/19 13:25,5/7/19 13:29,IP Address,,7,201,FALSE,5/7/19 17:29,R_3L7lwwhSXNqc0w6,,,,,,,anonymous,EN,p0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201
5/10/19 10:26,5/10/19 10:46,IP Address,,100,1208,TRUE,5/10/19 10:46,R_5AYSd61r4NQqWzL,,,,,,,anonymous,EN,p29,5,2,7,4,3,1,6,1,8,4,5,6,2,6,2,4,6,6,3,8,8,6,8,2,7,6,7,2,3,8,5,1,7,4,1,3,1208
5/10/19 10:29,5/10/19 10:47,IP Address,,100,1082,TRUE,5/10/19 10:47,R_3fDaoip5bLZp8Xm,,,,,,,anonymous,EN,P26,5,6,7,7,1,7,2,1,5,5,4,5,8,7,8,8,3,2,5,2,5,8,1,8,1,4,8,3,8,4,7,7,3,3,1,8,1082
5/10/19 10:29,5/10/19 10:52,IP Address,,100,1430,TRUE,5/10/19 10:52,R_3nN9IOiSGCfEKI8,,,,,,,anonymous,EN,p28,5,1,7,4,3,7,2,1,8,4,5,6,5,1,2,4,6,7,3,8,8,2,5,3,2,2,4,4,7,5,5,8,5,3,4,8,1430
5/10/19 10:35,5/10/19 10:55,IP Address,,100,1196,TRUE,5/10/19 10:55,R_3Lig2gj5Q3kexaW,,,,,,,anonymous,EN,p27,5,1,7,4,3,1,6,1,3,8,5,6,5,1,2,3,6,1,5,7,4,7,5,2,7,6,6,3,6,8,7,7,2,1,1,8,1196
5/10/19 10:34,5/10/19 11:00,IP Address,,100,1564,TRUE,5/10/19 11:00,R_3dH2jlZcDaN21iW,,,,,,,anonymous,EN,P25,5,1,7,4,3,1,6,1,8,4,5,6,2,1,2,4,3,7,3,2,8,1,5,1,7,8,1,3,8,5,5,5,5,,,,1564
5/10/19 11:05,5/10/19 11:30,IP Address,,100,1502,TRUE,5/10/19 11:30,R_2fscU96w6zPYmpH,,,,,,,anonymous,EN,p30,5,1,7,4,3,1,6,1,8,4,5,5,5,1,2,8,6,7,8,4,8,6,8,1,8,8,7,2,7,7,6,2,,,,,1502
5/10/19 10:05,5/10/19 10:05,IP Address,,5,8,FALSE,5/10/19 14:05,R_1JL56CxtmNlespC,,,,,,,anonymous,EN,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
5/10/19 11:05,5/10/19 11:13,IP Address,,7,462,FALSE,5/10/19 15:13,R_2b2cvBD8KokE702,,,,,,,anonymous,EN,P0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462
5/10/19 11:30,5/10/19 11:30,IP Address,,5,6,FALSE,5/10/19 15:31,R_1DIQpD1VnYk3mZ3,,,,,,,anonymous,EN,p30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
5/14/19 11:44,5/14/19 12:00,IP Address,,100,930,TRUE,5/14/19 12:00,R_2wuApFQYYnhXVFh,,,,,,,anonymous,EN,p46,5,8,7,4,3,1,6,4,8,7,7,5,5,1,2,1,6,1,5,4,5,2,5,2,2,2,3,3,6,6,5,8,2,3,1,8,930
5/14/19 11:57,5/14/19 12:00,IP Address,,100,190,TRUE,5/14/19 12:00,R_0BZSuTWT6DLZGaB,,,,,,,anonymous,EN,p38,1,4,8,5,3,3,5,3,5,2,6,1,6,3,8,2,4,8,7,1,6,2,4,7,3,5,1,8,2,4,6,1,3,8,6,4,190
5/14/19 11:58,5/14/19 12:02,IP Address,,100,227,TRUE,5/14/19 12:02,R_1CqBiwd0MBB31sh,,,,,,,anonymous,EN,p44,4,5,3,6,7,2,3,5,6,4,3,7,4,6,1,4,3,6,7,5,4,3,7,3,3,6,6,7,5,5,7,8,5,6,3,8,227
5/14/19 11:50,5/14/19 12:04,IP Address,,100,782,TRUE,5/14/19 12:04,R_1onnmQMBbtRmxOh,,,,,,,anonymous,EN,p41,1,1,7,8,3,1,6,1,1,8,5,1,3,4,7,1,3,2,6,3,3,6,2,3,4,3,5,6,5,5,2,6,,5,6,1,782
5/14/19 11:54,5/14/19 12:07,IP Address,,100,790,TRUE,5/14/19 12:07,R_2XncCtWtknvF9fc,,,,,,,anonymous,EN,P45,5,2,7,2,3,2,5,1,1,2,6,8,2,4,2,8,4,2,7,2,4,5,5,2,8,6,3,1,3,6,4,8,8,1,3,2,790
5/14/19 12:01,5/14/19 12:08,IP Address,,100,393,TRUE,5/14/19 12:08,R_3n7rUGGabz1yL5P,,,,,,,anonymous,EN,p33,8,7,7,8,8,1,7,1,8,7,4,6,4,5,3,1,7,8,8,7,8,8,8,8,6,7,2,6,1,4,5,3,2,4,6,3,393
5/14/19 12:00,5/14/19 12:08,IP Address,,100,501,TRUE,5/14/19 12:08,R_8iB6VeNpLbRhKsV,,,,,,,anonymous,EN,P47,8,1,7,4,3,1,6,4,8,7,5,6,2,4,4,4,3,4,5,7,8,4,5,3,4,6,2,6,7,8,5,4,8,5,3,8,501
5/14/19 11:58,5/14/19 12:09,IP Address,,100,637,TRUE,5/14/19 12:09,R_3sgED3hjbxEQkvv,,,,,,,anonymous,EN,P36,5,4,7,3,1,1,6,8,8,7,3,5,8,1,6,7,3,4,8,4,2,6,5,8,6,4,5,3,6,5,7,5,2,5,6,6,637
5/14/19 11:59,5/14/19 12:10,IP Address,,100,671,TRUE,5/14/19 12:10,R_3nIPGlD1aeo3F3A,,,,,,,anonymous,EN,p35,5,2,7,4,1,7,6,2,8,8,4,6,7,4,5,4,6,4,3,4,4,8,4,4,8,4,3,1,7,7,7,1,6,7,6,8,671
5/14/19 12:04,5/14/19 12:11,IP Address,,100,442,TRUE,5/14/19 12:11,R_3frXWNEyYSUhXWQ,,,,,,,anonymous,EN,p37,5,1,7,8,7,1,6,1,8,5,7,7,8,5,4,8,6,1,3,2,4,6,5,2,7,4,3,6,4,3,6,8,4,1,1,4,442
5/14/19 12:02,5/14/19 12:12,IP Address,,100,600,TRUE,5/14/19 12:12,R_1Qhc0RRIkpcDNDg,,,,,,,anonymous,EN,p32,4,1,7,4,3,1,6,1,4,4,5,6,6,1,6,8,6,3,2,2,1,1,3,3,6,8,3,5,8,2,8,8,4,3,1,7,600
5/14/19 12:04,5/14/19 12:13,IP Address,,100,556,TRUE,5/14/19 12:13,R_3oIawU7wsjyHYcR,,,,,,,anonymous,EN,p48,5,1,7,4,3,4,6,8,4,2,3,4,7,3,4,6,6,7,8,8,8,6,7,8,8,8,7,6,5,4,3,2,1,8,5,6,556
5/14/19 12:01,5/14/19 12:14,IP Address,,100,804,TRUE,5/14/19 12:15,R_2zhzwqw3NsPHA9Y,,,,,,,anonymous,EN,p40,5,1,7,4,3,1,6,1,8,4,5,6,5,7,2,4,6,7,3,3,4,8,7,7,2,8,7,2,6,8,6,1,8,3,7,6,804
5/14/19 12:04,5/14/19 12:15,IP Address,,100,626,TRUE,5/14/19 12:15,R_3QYINAdi9M2vPri,,,,,,,anonymous,EN,p43,8,2,7,4,4,1,6,6,3,5,2,4,5,4,6,5,6,4,3,7,8,4,5,4,1,5,3,6,1,6,5,5,2,7,5,1,626
5/14/19 12:02,5/14/19 12:15,IP Address,,100,752,TRUE,5/14/19 12:15,R_1CyFS2a5CjfbiMr,,,,,,,anonymous,EN,P34,5,6,7,8,2,1,2,8,8,4,4,6,4,8,6,5,6,4,5,8,4,8,5,7,2,2,1,8,3,8,7,1,4,5,4,4,752
5/14/19 11:53,5/14/19 12:17,IP Address,,100,1473,TRUE,5/14/19 12:17,R_3HgYrL0UNMZ2u7O,,,,,,,anonymous,EN,p39,5,1,7,4,3,1,6,1,8,4,5,6,2,1,2,4,6,1,7,8,8,7,6,3,2,7,4,3,6,5,5,5,8,5,3,8,1473
5/14/19 12:03,5/14/19 12:19,IP Address,,100,937,TRUE,5/14/19 12:19,R_3KT9vKyiYI4pfp9,,,,,,,anonymous,EN,P31,2,1,8,4,3,1,6,1,4,5,5,6,5,1,2,4,6,7,8,2,8,5,6,3,8,8,8,7,5,6,3,6,7,1,6,1,937
5/14/19 12:09,5/14/19 12:24,IP Address,,100,899,TRUE,5/14/19 12:24,R_2TMYiv3TuZhbUqo,,,,,,,anonymous,EN,p42,5,2,7,4,3,1,2,1,8,4,5,6,3,8,8,4,6,3,3,8,4,8,1,2,5,6,6,2,5,4,6,2,6,2,6,2,899
5/14/19 11:43,5/14/19 11:43,IP Address,,5,11,FALSE,5/14/19 15:43,R_tE5pnhuwQ7u3a5r,,,,,,,anonymous,EN,p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
5/14/19 11:45,5/14/19 11:46,IP Address,,5,80,FALSE,5/14/19 15:47,R_1nU7CFYJXEygjnX,,,,,,,anonymous,EN,p41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
5/14/19 12:08,5/14/19 12:08,IP Address,,5,11,FALSE,5/14/19 16:09,R_20OK9JMpD3SnV4x,,,,,,,anonymous,EN,P45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
